,0
0,4.805330026541483
1,4.819065001076695
2,4.767328625928983
3,4.735600579291858
4,4.788406486043388
5,4.787421521476513
6,4.833831608960434
7,4.786146395421024
8,4.838442597598109
9,4.745139489626097
10,4.826236451914186
11,4.772393019639354
12,4.803766600046573
13,4.90054309998539
14,4.865567087549469
15,4.8149336591409995
16,4.7318122405543095
17,4.782824354918615
18,4.837892801237311
19,4.80538971649427
20,4.800641670610481
21,4.769813149020542
22,4.733946601981367
23,4.845935761044993
24,4.794847309673629
25,4.880067316514195
26,4.817093415606896
27,4.846556080630498
28,4.801614972336432
29,4.8472565680061095
30,4.776141396785918
31,4.777728204027335
32,4.691455246025154
33,4.836330423465998
34,4.776224613930085
35,4.852308206789723
36,4.775188114928401
37,4.813957477585204
38,4.7881370308288504
39,4.799304629721061
40,4.779446354431628
41,4.769144863246125
42,4.806530927151533
43,4.784197571096745
44,4.737148566851498
45,4.772313822473978
46,4.851198972597298
47,4.802429299010192
48,4.788364309856382
49,4.624142601688031
50,4.932129766817189
51,4.786266180563527
52,4.81183554225303
53,4.9928436767878885
54,4.774510239650869
55,4.793322829644521
56,4.755128011174866
57,4.757658219461741
58,4.773061093799117
59,4.811848622482959
60,4.8446052951032925
61,4.785779856280465
62,4.73544102398153
63,4.853458832977043
64,4.861629872521363
65,4.83443909548807
66,4.818502504266099
67,4.781028981056021
68,4.796178326577726
69,4.772888775446712
70,4.524517580008936
71,4.946846771686526
72,4.853689769662436
73,4.81610871138983
74,4.782967875789701
75,4.861038869879754
76,4.808058456002367
77,4.770442971510148
78,4.763593983020538
79,4.806189812625202
80,4.814328167771
81,4.774510930584386
82,4.851270804034558
83,4.7953867188524955
84,4.79344434416731
85,4.788200753281666
86,4.829237921942686
87,4.757315775183749
88,4.852101859703597
89,4.852759948779034
90,4.7888657718799745
91,4.785478510801256
92,4.829059864550363
93,4.8037988902214215
94,4.835208847437732
95,4.834795411581973
96,4.827257321071436
97,4.798876475278174
98,4.806498852166599
99,4.770549415678837
100,4.880362315583413
101,4.806556420428753
102,4.81363000652168
103,4.796428124276653
104,4.829180637405839
105,4.8043275364357365
106,4.778269781007852
107,4.840734690997851
108,4.547621616404329
109,4.849674442447195
110,4.782277364935404
111,4.791899801843833
112,4.872154127843704
113,4.769784418254295
114,4.823280951224063
115,4.844968377147422
116,4.807762988881538
117,4.823488656699755
118,4.846463764046724
119,4.809617177858532
120,4.804256630953441
121,4.789206005613768
122,4.638436481766649
123,4.809303006308467
124,4.857363097874776
125,4.755012840445559
126,4.793963927406126
127,4.777974226395624
128,4.824772816096098
129,4.77495858010608
130,4.820944884436337
131,4.8122722837129865
132,4.78413655166386
133,4.809798168951979
134,4.753024942603246
135,4.752880656314981
136,4.64374574961074
137,4.760257082630152
138,4.829649883369756
139,4.838044052777986
140,4.8027923134673935
141,4.811307419246007
142,4.8231969798827246
143,4.820782120871119
144,4.7873554742489
145,4.797836819965509
146,4.83923446817914
147,4.8272817584103365
148,4.751610155099155
149,4.800120215999498
150,4.882029756397023
151,4.78755931903941
152,4.827203781222539
153,4.793528194673206
154,4.698729420698928
155,4.829085023135107
156,4.739717501961283
157,4.818043297062427
158,4.837973456526941
159,4.822885036019845
160,4.774528961083492
161,4.729728942264643
162,4.793237915643859
163,4.7971990838167
164,4.815327448305144
165,4.760430335644767
166,4.838613586535841
167,4.801943461419451
168,4.7708443658618105
169,4.832252570652203
170,4.774558410410966
171,4.7585147427479475
172,4.794350304047077
173,4.8079239985066415
174,4.8447261339874945
175,4.8378061457867085
176,4.764161863239276
